time,seconds_elapsed,z,y,x
0.028,0.028,8.8115,0.7841,-5.4909
0.524,0.524,11.4689,1.5107,6.4353
1.023,1.023,-1.3036,-7.8646,6.4497
1.523,1.523,3.1303,-16.9993,0.5518
2.023,2.023,-3.6283,-7.5546,-3.7372
2.523,2.523,-7.1703,-5.6118,-1.2186
3.028,3.028,-11.4785,-0.8248,-4.4063
3.524,3.524,-4.216,-3.6295,-5.984
4.025,4.025,-1.7202,-9.8876,0.6799
4.525,4.525,0.8523,-8.9707,1.7058
5.024,5.024,3.4906,-10.2443,0.6129
5.524,5.524,7.381,-3.4272,-2.1882
6.025,6.025,10.2839,-1.0462,-3.4846
6.523,6.523,8.4631,-2.4133,-3.6426
7.024,7.024,7.0865,-3.2524,-2.0625
7.523,7.523,11.7119,-1.9141,-4.5464
8.024,8.024,7.4109,-2.7556,-2.8442
8.525,8.525,6.8603,-3.1949,-2.1559
9.023,9.023,11.7646,-1.2545,-2.4791
9.524,9.524,6.8974,-3.2679,-1.5382
10.024,10.024,7.2314,-2.9819,-2.5449
10.524,10.524,10.9255,-0.9289,-3.4726
11.024,11.024,6.1732,-4.0628,-1.3455
11.524,11.524,9.6339,-2.205,-3.1674
12.023,12.023,9.9032,-2.5318,-3.8713
12.523,12.523,6.6496,-3.9155,-2.6084
13.023,13.023,9.5345,-3.0393,-3.396
13.523,13.523,9.2927,-2.0565,-2.357
14.023,14.023,6.5838,-3.9108,-2.1966
14.524,14.524,9.1945,-2.8095,-3.499
15.023,15.023,9.1167,-2.5844,-2.3498
15.523,15.523,6.5251,-3.6893,-1.7082
16.024,16.024,9.7799,-1.2366,-2.9076
16.525,16.525,8.4787,-1.6017,-2.8957
17.025,17.025,7.5642,-4.2878,-2.9771
17.523,17.523,8.9755,-3.2967,-2.9555
18.024,18.024,9.3178,-1.1851,-4.3836
18.524,18.524,6.9525,-3.323,-2.7831
19.025,19.025,7.0925,-2.0517,-3.1662
19.523,19.523,10.4862,-1.6376,-4.7343
20.024,20.024,6.9477,-3.4379,-2.3199
20.524,20.524,6.7454,-3.4559,-2.3103
21.025,21.025,10.7016,-2.5461,-3.3769
21.524,21.524,8.3781,-2.7245,-2.3474
22.025,22.025,7.0099,-3.2991,-2.2505
22.525,22.525,9.5884,-1.8782,-2.6706
23.025,23.025,8.8618,-3.0597,-2.6886
23.523,23.523,7.1643,-3.7599,-2.2074
24.025,24.025,10.315,-2.1906,-3.6546
24.523,24.523,9.7715,-1.7202,-3.5409
25.023,25.023,7.7988,-3.7456,-3.086
25.524,25.524,9.8493,-1.361,-3.1901
26.024,26.024,9.5417,-1.9093,-3.1506
