#time,seconds_elapsed,z,y,x  
1619623861677852000,0.020851806640625,-6.501292695590854,-7.2245169535249465,-1.3076459021165967
1619623861687882000,0.030882080078125,-6.509509904316067,-7.215337037247419,-1.317414870328456
1619623861697912000,0.040912109375,-6.511747454109788,-7.211501404607295,-1.3273166711397468
1619623861707942000,0.05094189453125,-6.503776329100131,-7.2178715241611,-1.3317659056335687
1619623861717972000,0.060971923828125,-6.489303567111492,-7.231213820815086,-1.3299902742631733
1619623861728002000,0.071001953125,-6.474212965485453,-7.246355275845527,-1.3210920975364744
1619623861738031900,0.081031982421875,-6.460351028871536,-7.260227733853459,-1.3127620760865508
1619623861748062000,0.09106201171875,-6.447589746975899,-7.27236766898036,-1.3082967672407626
1619623861758092000,0.101092041015625,-6.437593838140368,-7.281242464831471,-1.3081596968576312
1619623861768121900,0.111121826171875,-6.434703377395868,-7.28325789630711,-1.3111607783697545
1619623861778152000,0.12115185546875,-6.440301343533396,-7.277485742646455,-1.3157175648912787
1619623861788182000,0.13118212890625,-6.452203378251195,-7.265836805906892,-1.3217717503637074
1619623861798211600,0.141211669921875,-6.4695145785361525,-7.2489628279954195,-1.32977706990391
1619623861808240400,0.151240478515625,-6.491584956046938,-7.227712534695863,-1.337865683813393
1619623861818270500,0.1612705078125,-6.518150306889415,-7.202879706734419,-1.3426229613430798
1619623861828300500,0.171300537109375,-6.547467002266645,-7.176192775338888,-1.3428801509745418
1619623861838330600,0.18133056640625,-6.5773495148330925,-7.149688799294829,-1.3382102594673633
1619623861848360400,0.1913603515625,-6.607633593937754,-7.123617369449138,-1.3280224813215433
1619623861858390500,0.201390625,-6.637879679119586,-7.098010049983858,-1.3142198736794293
1619623861868420400,0.21142041015625,-6.6736115022361275,-7.067205746397375,-1.2991940078526734
1619623861878450400,0.221450439453125,-6.706165864360332,-7.038563589280844,-1.2869960589282214
1619623861888480500,0.23148046875,-6.735856653746962,-7.011440604555607,-1.2799655757695436
1619623861898510300,0.24151025390625,-6.76284753652513,-6.985989936956763,-1.2768041891291737
1619623861908540400,0.25154052734375,-6.786357591450214,-6.963926573708653,-1.2725836488246918
1619623861918570500,0.261570556640625,-6.804004307299852,-6.948371861702204,-1.2633423577487468
1619623861928600600,0.2716005859375,-6.812563461330533,-6.942311538749933,-1.2504675324760377
1619623861938629400,0.28162939453125,-6.811512490972876,-6.946485609564185,-1.2328928589493036
1619623861948659500,0.291659423828125,-6.804426332104206,-6.95768446444869,-1.208629866765067
1619623861958689500,0.301689453125,-6.795841459110378,-6.970950773257017,-1.1801537869304417
1619623861968719400,0.31171923828125,-6.7880924524188035,-6.983194168758392,-1.1520371149927378
1619623861978749400,0.32174951171875,-6.7801207428872585,-6.994426925912499,-1.1306408373512327
1619623861988779500,0.331779541015625,-6.76972911273241,-7.006148927888273,-1.1202804060522467
1619623861998809600,0.3418095703125,-6.757554106292128,-7.018329195025562,-1.1175373178891836
1619623862008839400,0.35183935546875,-6.748332688960432,-7.027822999557852,-1.1135929641775786
1619623862018869500,0.361869384765625,-6.747799604997039,-7.030314816373586,-1.1010243553098291
1619623862028899300,0.3718994140625,-6.757721864074468,-7.024232281589508,-1.0787641543153672
1619623862038929400,0.381929443359375,-6.7722332045078275,-7.014186103871464,-1.0528170815017073
1619623862048959500,0.39195947265625,-6.781491446718573,-7.008233332946896,-1.0326813983805476
1619623862058989600,0.401989501953125,-6.7830217250257725,-7.008261974519491,-1.0223832917280495
1619623862069018400,0.412018310546875,-6.781115599143504,-7.01064916191697,-1.0186537498109043
1619623862079048400,0.42204833984375,-6.7817381149560205,-7.010503031444549,-1.0155117985233664
1619623862089078500,0.43207861328125,-6.788152658173441,-7.004993912634253,-1.0106585132732986
1619623862099108400,0.4421083984375,-6.801710643404721,-6.992211587950587,-1.0080122365482151
1619623862109138400,0.452138427734375,-6.822330822107196,-6.971595500901341,-1.0114546320870519
1619623862119168500,0.46216845703125,-6.848102392223477,-6.944677683359384,-1.0224117871701717
1619623862129198600,0.472198486328125,-6.877042655503749,-6.912872093775868,-1.0434884774684905
1619623862139228400,0.482228515625,-6.9101961525648825,-6.874771787962317,-1.0756831394348292
1619623862149258500,0.492258544921875,-6.949235200533271,-6.828851163786649,-1.1159371161509304
1619623862159288300,0.502288330078125,-6.995821595141291,-6.773278914168476,-1.162568445879221
1619623862169318400,0.512318359375,-7.051416056591272,-6.705994014924764,-1.2155500214170665
1619623862179348500,0.522348388671875,-7.115621109998226,-6.627039136153459,-1.2730582805991173
1619623862189378600,0.532378662109375,-7.184223521581291,-6.5403247292965645,-1.334716718263179
1619623862199407600,0.54240771484375,-7.25002431974709,-6.45344314917922,-1.400215610872954
1619623862209437400,0.5524375,-7.308451374274492,-6.372634166973829,-1.4650819046676158
1619623862219467500,0.562467529296875,-7.359324067899585,-6.298693316972256,-1.5287906989902258
1619623862229497300,0.572497314453125,-7.4052452765971415,-6.229232242733239,-1.590408804643899
1619623862239527400,0.58252734375,-7.448225755667686,-6.162820619192719,-1.6474102102823553
1619623862249557500,0.5925576171875,-7.4871531599551435,-6.099723234766722,-1.7047865867130458
1619623862259587600,0.602587646484375,-7.51921886177957,-6.042375792169571,-1.766756720674783
1619623862269617700,0.61261767578125,-7.543043974003195,-5.990993979978561,-1.8387125343389807
1619623862279647200,0.622647216796875,-7.563103011691569,-5.938298162579536,-1.9252194359250365
1619623862289677300,0.63267724609375,-7.585152930936217,-5.8732613345235585,-2.0348551380336284
1619623862299707400,0.642707275390625,-7.61082863946259,-5.794325744974613,-2.161356780877709
1619623862309737500,0.652737548828125,-7.6394930084109305,-5.708560601666569,-2.284920470573753
1619623862319766500,0.6627666015625,-7.676872598734498,-5.620505886116623,-2.3761149454541504
1619623862329796600,0.672796630859375,-7.730818708455562,-5.535603497117758,-2.4003999302744865
1619623862339826400,0.682826416015625,-7.799516397106647,-5.472575086274743,-2.3213902525760233
1619623862349856300,0.692856201171875,-7.86111156027615,-5.456617638686299,-2.1444414480425418
1619623862359886300,0.70288623046875,-7.887454208278656,-5.505560825553536,-1.9097744679033755
1619623862369916400,0.71291650390625,-7.863053341993689,-5.625033008152246,-1.6437091638073325
1619623862379946500,0.722946533203125,-7.7975950736552475,-5.793197617727518,-1.344156600651145
1619623862389976600,0.7329765625,-7.724754293850064,-5.952947450178861,-1.0300359984382987
1619623862400006700,0.743006591796875,-7.697334372004867,-6.033246729296446,-0.7220542643066495
